50.95	1.09	14.85	11	7.67	12.52	1.97	0.04	59.75	-29.87
50.64	1.07	14.49	11.7	7.47	12.22	2.06	0.05	59.75	-29.87
50.69	1.21	14.17	11.62	7.56	11.94	1.99	0.04	59.75	-29.87
50.51	1.09	14.38	11.65	7.67	11.96	2.05	0.05	59.75	-29.87
50.36	1.06	14.9	10.94	7.92	12.45	1.94	0.06	59.75	-29.87
50.08	1.17	13.53	12.12	7.15	11.79	1.99	0.03	59.75	-29.87
50.97	1.19	14.1	12.38	6.99	11.9	2.05	0.06	59.75	-29.87
50.8	1.09	14.53	11.72	7.68	11.98	1.99	0.06	59.75	-29.87
49.34	1.1	14.18	11.75	7.22	12.03	1.98	0.06	59.75	-29.87
50.69	1.09	14.55	11.71	7.27	12.12	2.02	0.04	59.75	-29.87
50.85	1.19	14.34	11.66	7.57	11.99	2.08	0.04	59.75	-29.87
50.04	1.14	14.08	12.16	6.88	12.01	2.09	0.04	59.75	-29.87
50.94	1.14	14.89	11.66	7.68	12.02	2.07	0.06	59.75	-29.87
50.41	1.12	14.82	11.97	7.31	11.96	1.97	0.04	59.75	-29.87
50.39	1.1	14.73	11.67	7.47	12.21	2.05	0.05	59.75	-29.87
51.87	1.24	14.56	12.1	6.97	12.03	2.08	0.06	59.75	-29.87
50.54	1.16	14.29	11.7	7.6	12.04	2.02	0.04	59.75	-29.87
50.79	1.14	14.65	11.69	7.43	12	2.04	0.05	59.75	-29.87
50.93	1.27	13.72	12.15	7.11	12.08	2.05	0.04	59.75	-29.87
51.62	1.17	14.27	11.71	7.62	12.22	2.01	0.04	59.75	-29.87
51.35	1.2	13.62	12.17	6.83	11.86	2.02	0.05	59.75	-29.87
51.84	1.16	14.29	11.55	7.22	11.84	2.09	0.04	59.75	-29.87
50.58	1.12	14.45	11.63	7.41	11.98	2.02	0.05	59.75	-29.87
51.29	1.26	13.97	12.27	6.91	11.82	2.05	0.06	59.75	-29.87
50.66	1.15	14.14	11.74	7.53	12.03	2.02	0.05	59.75	-29.87
51.05	0.95	15.36	8.71	8.08	13.22	1.87	0.14	36.85	-32.97
51.85	1.54	15.54	9.24	7.63	11.61	3.17	0.08	15.32	-21.88
51.1	1.51	15.76	9.51	7.55	11.49	2.83	0.09	15.32	-21.88
51.17	1.53	15.28	9.51	7.54	11.38	2.79	0.09	15.32	-21.88
50.81	1.46	15.05	10.1	7.57	12.1	2.43	0.05	-20.29	-12.2
51.52	1.66	15.07	9.96	7.24	11.48	2.75	0.13	-23.32	-13.52
51.1	1.74	15.29	9.55	7.23	11.35	2.96	0.14	-23.82	-13.76
50.85	1.65	15.29	9.75	7.98	10.93	2.92	0.09	-25.15	-13.72
51.41	1.24	15.45	8.83	7.95	12.32	2.63	0.06	-26.06	-13.85
51.26	1.36	15.89	9	7.62	11.67	2.96	0.23	-27.61	-12.83
51.34	1.56	15.31	9.85	7.38	11.18	3.08	0.13	-27.61	-12.83
49.7	1.25	15.9	9.2	8.1	11.8	2.58	0.1	9	-39.5
50.38	1.48	15.53	9.52	8.92	11.09	2.68	0.08	-14.17	-13.94
50.73	1.46	15.34	9.4	8.92	11.15	2.72	0.09	-14.17	-13.94
50.85	1.53	15.45	9.66	7.5	11.53	2.68	0.1	-22.01	-23.26
50.26	1.16	15.8	9.35	8.21	11.99	2.44	0.07	-22.01	-23.26
50.34	1.21	15.88	9.1	8.04	12.23	2.46	0.1	-22.01	-23.26
51.04	1.14	15.72	8.6	8.2	12.23	2.5	0.08	-22.01	-23.26
50.51	1.11	15.63	9.05	8	12.09	2.51	0.07	-22.01	-23.26
50.55	1.16	15.68	9.19	8.22	11.95	2.47	0.08	-22.01	-23.26
50.94	1.46	14.99	9.59	7.55	12.09	2.65	0.08	-22.29	-18.55
51.02	1.45	14.92	9.73	7.4	11.97	2.68	0.07	-22.29	-18.55
50.95	1.89	14.93	10.19	7.22	11.01	2.93	0.09	-14.47	-11.58
50.12	1.57	15.19	9.82	7.63	11.33	2.56	0.32	-14.47	-11.58
50.38	1.63	15.08	10.36	7.66	11.36	2.78	0.09	-19.99	-11.88
50.64	1.68	14.98	10.68	7.85	10.88	2.74	0.15	-16.46	-19.76
50.48	1.64	15.31	10.62	7.82	11.22	2.74	0.08	-16.46	-19.76
50.56	1.58	15.3	9.69	7.79	11.39	2.54	0.29	-8.69	-20
50.55	1.55	15.54	9.84	7.78	11.36	2.51	0.29	-8.69	-20
50.65	1.35	15.4	9.41	8.02	12	2.68	0.04	12.4	-44.1
50.22	1.65	15.57	10.21	7.96	11.52	2.55	0.05	12.4	-44.1
50.14	1.68	15.43	10.45	8	11.49	2.56	0.04	12.4	-44.1
50.91	1.82	14.94	9.9	7.44	10.72	2.72	0.69	13.77	-44.99
51.9	1.52	15.45	9.53	7.34	10.82	2.97	0.25	13.77	-44.99
50.72	1.82	15.04	10.01	7.45	10.71	2.77	0.65	13.77	-44.99
51.8	1.63	15.34	9.84	6.51	10.74	2.72	0.57	14.32	-45.04
51.46	1.9	14.98	10.3	6.1	10.54	2.85	0.62	14.32	-45.04
50.74	1.9	14.92	10.67	6.25	10.23	2.84	0.65	14.32	-45.04
51.68	1.63	14.85	9.84	7.15	10.5	2.64	0.59	14.5	-44.83
51.75	1.63	14.8	9.9	7.24	10.54	2.57	0.58	14.5	-44.83
51.88	1.54	15.2	9.43	7.4	10.76	2.92	0.24	15.88	-46.56
50.9	1.68	14.71	10.48	7.39	10.48	2.97	0.17	16.34	-46.64
50.72	1.7	14.61	10.57	7.34	10.61	2.97	0.18	16.34	-46.64
51.02	1.76	14.69	10.75	7.45	10.43	2.93	0.18	16.34	-46.64
50.24	1.75	15.45	9.84	7.58	10.81	2.93	0.15	20.69	-41.72
50.67	1.7	15.53	9.73	7.44	10.9	2.92	0.16	20.69	-41.72
50.51	1.72	15.55	9.92	7.58	10.95	2.87	0.16	20.69	-41.72
51.04	1.34	14.95	10.36	7.7	12.24	2.13	0.07	-11.19	-12.88
51.06	1.3	14.88	10.35	7.8	12.18	2.14	0.05	-11.19	-12.88
50.93	1.16	15.07	9.67	8.11	12.39	2.1	0.06	-11.19	-12.88
50.89	1.26	15.08	10.03	7.9	12.25	2.23	0.05	-11.19	-12.88
51.13	1.18	15.15	9.74	7.99	12.35	2.11	0.04	-11.19	-12.88
50.98	1.17	15.18	9.73	8.04	12.44	2.12	0.05	-11.19	-12.88
50.54	1.2	15.15	9.87	7.95	12.19	2.16	0.06	-11.19	-12.88
50.72	1.19	14.97	9.7	8.21	12.5	2.13	0.07	-11.19	-12.88
51.09	1.26	14.93	10.11	7.92	12.26	2.17	0.07	-11.19	-12.88
51.07	1.1	15.14	9.58	7.96	12.62	2.08	0.08	-11.27	-13.12
50.59	1.28	15.67	9.85	8.12	11.87	2.38	0.12	-11.27	-13.12
47.66	1.1	16.74	12.06	8.88	10.9	2.62	0.06	-10.1	-4.22
50.31	1.16	15.2	9.67	8.18	12.41	2.17	0.05	-10.1	-4.22
49.6	1.26	16.25	9.83	8.65	11.48	2.55	0.08	-1.92	-12.63
49.6	1.26	16.21	9.79	8.69	11.51	2.61	0.07	-1.92	-12.63
49.38	1.15	16.6	9.57	8.75	11.73	2.51	0.06	-1.92	-12.63
48.97	1.16	16.61	9.52	8.76	11.57	2.58	0.06	-1.92	-12.63
50.97	1.86	15.12	10.44	7	10.76	3	0.1	26.2	-44.79
50.78	0.66	15.75	8.45	9.1	13.74	1.61	0.03	33.66	-38.59
50	1.53	15.43	10.11	7.68	11.72	2.5	0.07	31.25	-41.12
50.41	1.53	15.16	10.7	7.97	11.15	2.55	0.06	31.25	-41.12
50	1.53	15.51	10.21	7.57	11.62	2.45	0.07	31.2	-41.57
50.31	1.6	15.41	10.27	7.97	11.21	2.47	0.1	31.23	-41.4
50.79	1.55	15.41	10.14	7.9	11.34	2.68	0.07	31.23	-41.4
48.69	0.98	16.09	9.06	9.87	12.08	2.26	0.02	31.097	-41.205
50.32	1.11	15.46	9.59	8.6	12.1	2.36	0.04	31.097	-41.205
50.64	1.54	15.07	10.28	7.53	11.45	2.61	0.07	30.95	-41.58
50.36	1.52	15.3	10.03	7.69	11.45	2.56	0.08	30.95	-41.58
50.76	1.35	15.3	9.62	7.51	11.62	2.43	0.07	30.98	-41.5
50.77	1.5	14.84	9.94	7.32	11.77	2.53	0.07	30.98	-41.5
50.14	1.63	15.22	10.1	7.8	11.43	2.54	0.08	30.88	-41.6
51.08	1.52	15.04	10.45	7.2	11.48	2.74	0.07	30.88	-41.6
50.79	1.61	15.31	10.34	8.12	11.12	2.47	0.09	30.88	-41.6
50.53	1.61	15.47	10.33	8.03	11.27	2.55	0.1	30.88	-41.6
51.04	1.75	15.44	9.59	6.89	10.54	2.69	0.61	14.47	-45.13
50.88	1.32	15.61	8.87	7.57	11.16	2.5	0.47	14.18	-44.877
50.23	1.29	15.49	9.02	7.49	11.24	2.4	0.43	14.18	-44.877
50.66	1.3	15.57	9.19	7.54	11.14	2.46	0.44	14.18	-44.877
51.05	1.5	15.69	9.36	7.59	11.63	2.58	0.29	12.83	-44.67
50.91	1.28	15.26	9.49	7.48	11.7	2.28	0.29	13.223	-44.825
51.43	1.38	15.36	9.32	7.67	11.25	2.39	0.31	13.223	-44.825
51.35	1.62	15.37	9.71	7.01	10.73	2.8	0.45	13.63	-44.9
51.45	1.59	15.08	9.75	7.17	10.76	2.72	0.49	13.63	-44.9
51.02	1.6	15.11	9.77	7.3	10.95	2.68	0.47	13.63	-44.9
52.13	1.53	15.32	9.39	6.99	11.23	2.76	0.45	14	-45.023
51.54	1.53	15.34	8.96	6.92	11.29	2.66	0.47	14	-45.023
51.6	1.44	15.3	9.04	6.79	11.19	2.56	0.48	14	-45.023
51.85	1.58	14.81	10.16	6.07	10.82	3.01	0.61	14.133	-44.983
51.52	1.61	15.21	10.07	6	10.63	3.06	0.57	14.133	-44.983
49.94	1.19	16.04	8.86	8.12	12.1	2.44	0.33	14.563	-44.975
50.14	1.15	15.98	8.66	8.07	11.94	2.3	0.33	14.563	-44.975
50.57	1.03	15.88	8.82	8.19	12.66	2.3	0.22	14.563	-44.975
49.92	1.03	15.9	9.1	8.14	12.85	2.25	0.25	14.563	-44.975
50.49	1.17	15.73	9.42	8.45	12.21	2.22	0.07	31.145	-41.205
50.44	1.15	15.62	9.41	8.42	12.1	2.23	0.06	31.145	-41.205
50.88	1.15	15.51	9.13	8.33	12.12	2.24	0.06	31.145	-41.205
51	1.09	15.91	8.94	8.16	12.17	2.21	0.06	31.145	-41.205
50.03	1.16	15.78	9.39	8.39	12.15	2.25	0.06	31.145	-41.205
50.68	1.17	15.58	9.56	8.29	12.3	2.24	0.06	31.145	-41.205
50.58	1.16	15.66	9.53	8.33	12.14	2.28	0.06	31.145	-41.205
50.75	1.16	15.68	9.42	8.2	12.23	2.25	0.07	31.145	-41.205
50.33	1.17	15.79	9.72	8.35	12.32	2.26	0.07	31.145	-41.205
50.69	1.16	15.51	9.4	8.4	12.15	2.23	0.05	31.145	-41.205
50.7	1.14	15.54	9.29	8.31	12.22	2.25	0.06	31.145	-41.205
50.59	1.19	15.7	9.46	8.33	12.22	2.25	0.06	31.145	-41.205
49.97	1.18	15.82	9.75	8.21	12.34	2.27	0.06	31.145	-41.205
49.77	1.69	14.88	11.15	7.54	10.97	2.71	0.08	31.129	-41.296
49.9	1.69	14.6	10.9	7.54	10.95	2.69	0.09	31.129	-41.296
50.25	1.71	14.95	11.01	7.58	11.01	2.7	0.08	31.129	-41.296
50.27	1.23	15.3	9.88	7.7	11.98	2.46	0.06	30.392	-41.618
50.48	1.3	15.26	10.01	7.67	12.02	2.48	0.05	30.392	-41.618
50.81	1.29	15.02	10.07	7.76	11.84	2.45	0.06	30.392	-41.618
50.81	1.26	14.93	9.94	7.71	11.95	2.44	0.07	30.392	-41.618
49.35	1.57	15.48	10.55	7.76	11.77	2.67	0.06	30.41	-41.858
49.73	1.52	15.4	10.49	7.68	11.6	2.66	0.07	30.41	-41.858
50.28	1.34	15.58	9.98	7.9	11.71	2.54	0.08	30.41	-41.858
49.92	1.34	15.48	10.08	7.87	11.78	2.54	0.07	30.41	-41.858
50.23	1.38	15.32	10.08	7.85	11.93	2.45	0.08	31.357	-41.112
50.99	1.36	14.86	10.58	7.39	11.87	2.54	0.05	31.357	-41.092
51.01	1.84	13.98	12.36	6.42	11.04	2.75	0.07	31.357	-41.092
50.85	1.87	14.05	12.41	6.3	11.1	2.72	0.07	31.357	-41.092
51.13	1.9	13.75	12.51	6.39	11.08	2.68	0.08	31.357	-41.092
51.16	1.84	13.8	12.02	6.55	10.96	2.7	0.07	31.357	-41.092
51.03	1.8	13.74	12.23	6.44	10.99	2.73	0.07	31.357	-41.092
52.03	1.86	13.78	11.94	6.3	11.12	2.8	0.08	31.357	-41.092
